sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
314,5,6,0,B,230,484,92,122,72,208,624,212,122,47,36,72,1,238,523,95,118,68,188,639,248,131,46,19,77,7
315,3,8,0,B,236,494,85,115,80,213,637,214,112,45,38,75,3,254,520,101,117,73,184,682,240,138,44,21,73,8
316,5,6,0,B,239,505,86,117,84,216,648,207,117,47,37,69,0,251,526,91,117,57,185,650,246,129,46,17,72,8
317,3,8,0,B,200,481,96,118,71,209,567,218,124,39,40,69,0,260,528,87,108,72,184,679,243,135,45,18,73,8
318,3,8,0,B,234,489,96,123,75,213,639,203,122,43,37,75,2,256,526,93,120,68,188,673,243,136,44,20,74,7
319,8,3,0,A,230,492,96,120,85,214,641,213,127,44,37,67,0,237,524,91,114,66,184,631,242,135,40,20,73,7
320,4,7,0,B,229,503,92,123,78,219,628,208,122,43,36,73,0,258,518,94,119,74,184,684,243,133,41,20,78,8
321,3,8,0,B,247,498,90,112,86,215,670,208,114,40,37,73,0,263,529,97,120,81,188,704,244,130,46,18,79,7
322,6,5,0,A,224,494,95,120,72,213,615,205,112,43,36,72,2,236,529,94,121,60,189,626,244,135,45,17,78,8
323,5,6,0,B,229,492,91,117,87,217,636,204,113,43,33,67,1,237,508,89,112,68,181,631,242,137,44,18,78,8
324,3,8,0,B,230,492,86,111,69,214,615,209,122,43,36,73,3,253,513,98,122,80,185,684,247,136,42,16,74,8
325,5,6,0,B,230,497,97,118,97,214,654,210,124,47,38,72,0,251,518,97,117,70,188,669,249,137,37,19,79,8
326,5,6,0,B,232,505,96,115,79,216,639,204,113,46,38,77,1,242,522,98,120,64,185,646,245,129,43,19,75,6
327,4,7,0,B,214,476,87,118,80,206,595,210,120,46,33,72,2,242,519,93,119,68,182,645,243,136,47,19,74,7
328,4,7,0,B,232,483,89,123,79,211,632,215,122,45,32,70,1,249,509,95,117,72,182,665,244,139,44,18,76,8
329,4,7,0,B,207,476,91,116,70,207,575,211,126,46,40,75,1,246,531,97,127,67,190,656,243,136,47,18,77,8
330,4,6,1,B,225,508,96,119,75,218,621,204,122,45,38,72,1,237,532,96,120,71,188,641,245,136,45,18,78,8
331,5,6,0,B,227,496,82,112,74,212,610,212,123,43,38,75,1,251,529,98,116,63,191,663,248,137,41,16,77,7
332,6,4,1,A,246,511,93,118,88,217,673,202,118,44,36,75,0,234,525,93,115,68,190,629,242,133,40,21,75,6
333,2,8,1,B,227,496,84,117,68,214,606,203,117,43,41,72,1,247,526,105,119,70,186,669,244,139,43,22,76,7
334,3,7,1,B,225,495,102,115,75,213,627,212,125,45,39,69,1,268,523,88,120,76,188,700,238,131,45,20,76,7
335,7,4,0,A,234,499,98,124,82,217,648,207,119,43,35,74,2,242,517,87,111,60,181,631,248,138,47,19,75,7
336,4,7,0,B,238,495,93,122,76,216,645,209,125,48,36,68,0,259,521,98,113,72,186,688,253,129,43,20,73,8
337,6,4,1,A,235,489,86,112,84,212,640,205,120,42,37,76,2,237,526,96,116,68,190,638,244,136,41,19,76,7
338,3,8,0,B,238,495,95,121,80,214,651,203,119,44,36,69,1,248,515,95,120,72,184,663,242,134,47,18,75,5
339,6,5,0,A,238,495,91,117,98,213,665,201,121,47,37,74,0,232,515,97,115,69,183,630,241,136,43,19,72,8
340,3,7,1,B,218,481,97,117,72,208,605,208,116,45,35,78,1,254,524,98,123,72,190,678,250,131,43,19,75,7
341,7,4,0,A,219,487,98,120,63,211,599,204,123,46,35,73,3,227,520,96,120,54,186,604,240,135,44,22,75,8
342,6,5,0,A,245,498,85,116,85,215,660,207,121,44,37,71,1,256,534,99,119,64,192,675,255,132,43,15,77,8
343,5,6,0,B,238,488,103,118,81,211,660,209,119,40,37,74,2,256,525,92,117,67,188,671,234,132,49,22,71,7
344,4,6,1,B,228,500,99,115,82,219,637,197,119,44,38,75,1,262,524,91,118,71,187,686,238,141,43,18,75,6
345,7,4,0,A,249,493,90,114,90,214,678,209,127,43,38,74,2,238,516,83,118,61,184,620,249,136,48,19,78,8
346,5,5,1,TIE,229,492,91,120,85,214,634,200,115,48,36,67,0,248,530,91,120,62,189,649,246,140,44,21,76,8
347,7,4,0,A,239,500,98,118,90,216,666,213,117,44,37,75,1,248,528,100,122,68,188,664,240,135,45,18,77,8
348,3,8,0,B,233,489,93,122,78,215,637,213,116,46,41,71,0,259,535,95,117,82,193,695,243,135,45,23,75,7
349,5,6,0,B,241,507,94,118,90,220,666,211,120,43,37,74,2,272,530,89,119,76,187,709,242,137,46,21,76,7
350,2,9,0,B,228,496,87,116,77,215,620,206,114,43,34,77,1,245,531,93,117,71,189,654,248,139,44,20,72,8
351,4,7,0,B,218,494,91,115,80,212,607,212,123,42,37,73,1,270,515,102,122,68,185,710,246,136,44,20,78,6
352,5,5,1,TIE,243,496,102,124,89,215,677,206,122,43,37,76,1,252,531,97,115,69,189,670,255,134,43,19,75,7
353,7,3,1,A,235,494,97,116,73,212,640,218,117,46,37,69,2,218,526,93,118,57,192,586,249,137,46,24,75,6
354,5,5,1,TIE,248,503,80,111,87,217,663,210,118,44,39,74,0,235,527,102,118,57,187,629,251,133,46,22,74,8
355,5,5,1,TIE,258,502,84,114,90,217,690,204,121,46,37,72,1,262,521,89,115,77,185,690,246,136,45,19,75,7
356,4,7,0,B,240,479,94,126,81,210,655,207,118,46,38,73,0,264,524,93,118,68,186,689,242,131,43,18,72,7
357,6,5,0,A,257,493,91,121,92,212,697,199,122,43,35,67,1,225,521,96,117,56,186,602,238,137,45,16,79,8
358,6,5,0,A,238,482,87,111,87,210,650,209,119,44,36,71,1,230,523,97,120,56,187,613,242,134,45,19,74,8
359,6,5,0,A,216,495,101,123,75,216,608,213,122,43,34,72,1,239,520,96,123,58,186,632,244,131,42,19,78,7
360,4,7,0,B,218,498,98,124,71,215,605,210,112,47,38,71,1,243,522,96,120,62,186,644,240,136,43,24,77,7
361,6,5,0,A,244,480,91,116,93,208,672,210,126,44,40,70,0,240,517,102,121,75,185,657,242,134,46,17,77,7
362,7,4,0,A,238,497,89,119,90,217,655,207,120,43,38,72,0,230,509,94,115,58,183,612,243,130,42,19,74,7
363,8,3,0,A,228,481,100,120,76,210,632,209,124,51,34,73,1,230,520,90,121,65,188,615,249,132,41,21,79,8
364,7,4,0,A,244,485,90,117,79,208,657,206,122,47,37,69,1,244,520,101,120,62,188,651,251,130,42,18,78,7
365,3,8,0,B,230,505,97,124,74,220,631,200,119,44,32,73,1,242,520,99,119,65,186,648,250,135,45,21,77,8
366,7,4,0,A,227,489,103,121,77,213,634,205,115,44,36,70,2,234,516,100,120,62,184,630,243,134,46,16,77,6
367,7,3,1,A,249,496,97,116,89,213,684,214,119,44,36,73,0,250,525,101,123,59,186,660,249,136,44,23,75,8
368,4,6,1,B,219,488,94,113,73,210,605,206,116,41,34,78,2,241,525,94,120,63,188,639,241,130,46,23,78,7
369,4,7,0,B,236,491,100,116,86,210,658,207,123,47,36,68,3,263,530,103,118,72,187,701,242,139,49,22,76,7
370,8,3,0,A,235,492,97,121,87,214,654,203,117,46,34,74,2,227,515,90,113,66,185,610,242,131,41,19,76,6
371,5,6,0,B,224,478,102,121,73,207,623,213,120,48,35,70,1,250,527,96,122,71,188,667,249,138,43,19,77,7
372,6,5,0,A,245,483,107,125,84,208,681,209,115,44,37,70,2,248,528,102,119,59,187,657,243,130,46,23,75,8
373,4,7,0,B,246,492,84,113,81,215,657,214,117,43,38,71,3,251,520,105,126,72,188,679,244,133,46,17,73,8
374,4,7,0,B,223,483,94,118,80,212,620,206,123,42,38,67,2,280,523,92,116,78,182,730,251,134,45,22,75,8
375,2,9,0,B,232,492,95,118,79,214,638,204,124,44,40,70,1,252,523,97,120,86,187,687,237,133,47,17,77,7
376,3,7,1,B,227,497,88,114,77,211,619,207,122,44,41,73,1,247,517,98,117,71,186,663,247,134,44,18,77,8
377,3,8,0,B,225,491,89,118,75,212,614,206,124,47,38,76,1,266,532,95,113,72,190,699,249,132,44,18,74,7
378,6,5,0,A,247,487,93,113,89,210,676,203,114,43,34,74,2,245,530,105,128,71,187,666,249,139,44,19,73,7
379,2,8,1,B,229,489,95,119,72,212,625,209,121,44,39,71,0,254,525,102,120,72,190,682,245,138,46,20,80,8
