sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
392,5,5,1,TIE,30,65,22,25,7,22,89,29,25,7,3,15,0,41,76,18,22,13,29,113,16,23,6,0,13,0
393,9,1,1,A,34,65,19,27,10,21,97,33,25,6,1,14,0,34,74,14,21,8,29,90,17,22,5,0,12,0
394,6,3,2,A,33,60,19,27,8,20,93,29,25,6,2,15,0,32,77,17,19,9,31,90,18,23,6,0,12,0
395,9,1,1,A,35,64,21,23,11,22,102,31,24,6,2,13,0,31,77,17,19,10,31,89,17,23,5,0,12,0
396,4,5,2,B,27,64,17,22,8,21,79,29,25,6,2,15,0,46,78,17,23,15,31,124,16,23,6,0,12,0
397,6,3,2,A,34,64,19,25,9,21,96,31,24,7,2,13,0,34,74,20,25,9,29,97,18,23,5,0,12,0
398,4,5,2,B,34,62,22,25,8,20,98,31,25,6,2,14,0,40,75,20,20,13,30,113,17,23,6,0,12,0
399,5,4,2,A,27,63,16,22,8,21,78,32,26,6,2,14,0,35,77,15,20,6,30,91,16,24,6,0,13,0
400,5,4,2,A,26,62,18,22,8,20,78,33,25,6,2,14,0,37,75,15,20,11,30,100,17,24,6,0,12,0
401,9,0,2,A,31,61,17,24,8,21,87,31,27,6,2,13,0,27,76,14,21,6,30,74,16,24,5,0,13,0
402,4,6,1,B,25,64,16,23,5,22,71,33,26,7,2,14,0,32,74,18,22,9,29,91,16,24,5,1,13,0
403,3,7,1,B,27,60,17,25,9,20,80,30,23,5,2,14,0,42,78,19,22,15,32,118,16,21,6,0,13,0
404,3,6,2,B,32,60,18,25,7,20,89,32,23,7,2,15,0,40,78,20,22,16,32,116,16,24,7,0,13,0
405,4,6,1,B,26,66,14,22,6,22,72,28,21,8,1,15,0,32,77,15,20,8,31,87,16,22,6,0,12,0
406,5,5,1,TIE,27,60,15,24,7,20,76,31,23,6,1,15,0,32,76,19,22,12,31,95,17,22,5,0,14,0
407,3,7,1,B,24,61,17,24,4,21,69,30,22,4,3,15,0,34,77,16,21,9,31,93,15,21,5,0,12,0
408,7,2,2,A,31,64,19,25,10,21,91,30,24,6,2,13,0,30,74,16,19,11,29,87,16,22,5,0,13,0
409,4,6,1,B,22,64,21,24,6,22,71,31,26,6,2,15,0,35,74,20,21,11,29,101,17,24,5,0,12,0
