extraction_date,extraction_timestamp,season,fantasy_team_id,fantasy_team_name,fantasy_team_abbrev,team_owner,player_name,player_id_espn,position,eligible_positions,pro_team,currently_rostered,injury_status,acquisition_type,season_avg_pts,season_total_pts,nine_cat_pts,nine_cat_blk,nine_cat_stl,nine_cat_ast,nine_cat_reb,nine_cat_to,nine_cat_3pm,nine_cat_fg%,nine_cat_ft%
2025-12-09,2025-12-09T09:20:43.733939,2026,6,Cold Beans,win,,Draymond Green,6589,PF,"PF,C,F,G/F,PF/C,F/C,UT,BE,IR",GSW,True,OUT,"D,R,A,F,T",0,0,8.0,0.8,0.8,5.5,6.1,3.0,1.6,0.382,0.619
2025-12-09,2025-12-09T09:20:43.733939,2026,6,Cold Beans,win,,Tre Jones,4395626,PG,"PG,G,G/F,UT,BE,IR",CHI,True,OUT,"A,D,D",0,0,13.2,0.2,1.7,4.9,3.2,1.6,0.5,0.529,0.852
2025-12-09,2025-12-09T09:20:43.733939,2026,6,Cold Beans,win,,Grayson Allen,3135045,SG,"PG,SG,G,SG/SF,G/F,UT,BE,IR",PHO,True,ACTIVE,"A,D,D",0,0,16.9,0.2,1.6,3.9,2.9,1.8,3.4,0.439,0.769
2025-12-09,2025-12-09T09:20:43.733939,2026,6,Cold Beans,win,,Egor Demin,5175643,PG,"PG,G,G/F,UT,BE,IR",BKN,True,ACTIVE,"A,D,D",0,0,8.3,0.3,0.8,3.7,3.3,1.7,1.9,0.38,0.857
2025-12-09,2025-12-09T09:20:43.733939,2026,6,Cold Beans,win,,Noah Clowney,4712896,PF,"PF,F,G/F,PF/C,F/C,UT,BE,IR",BKN,True,ACTIVE,"A,D,D",0,0,13.3,0.7,0.6,1.7,3.8,1.7,2.3,0.417,0.818
2025-12-09,2025-12-09T09:20:43.733939,2026,6,Cold Beans,win,,Naji Marshall,4278594,SF,"SF,PF,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",DAL,True,ACTIVE,"A,D,D",0,0,12.6,0.1,1.2,2.5,5.0,1.1,1.0,0.517,0.804
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Luka Doncic,3945274,PG,"PG,G,G/F,UT,BE,IR",LAL,True,ACTIVE,"D,R,A,F,T",0,0,35.0,0.6,1.5,9.1,9.2,4.4,3.6,0.472,0.81
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Jalen Williams,4593803,PF,"SF,PF,C,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",OKC,True,ACTIVE,"D,R,A,F,T",0,0,17.8,1.0,1.2,6.4,5.2,1.2,0.6,0.461,1.0
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Scottie Barnes,4433134,SF,"SG,SF,PF,G,F,SG/SF,G/F,PF/C,F/C,UT,BE,IR",TOR,True,ACTIVE,"D,R,A,F,T",0,0,20.0,1.6,1.4,5.3,8.0,2.4,1.4,0.509,0.847
2025-12-09,2025-12-09T09:20:43.733939,2026,8,Team Boricua Squad,DE L,,Josh Hart,3062679,SF,"SG,SF,G,F,SG/SF,G/F,F/C,UT,BE,IR",NYK,True,ACTIVE,"D,R,A,F,T",0,0,12.0,0.3,1.3,5.0,7.9,2.0,1.5,0.5,0.818
