week,matchup,team_id,team_name,team_side,player_name,player_id,position,slot_position,pro_team,points,stat_0
5,Team perez vs TEAM TOO ICEY BOY 12,18,Team perez,home,Moussa Diabate,4433249,PF,PG,CHA,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 34.0, 'BLK': 4.0, 'STL': 0.0, 'AST': 7.0, 'OREB': 17.0, 'DREB': 20.0, 'REB': 37.0, 'EJ': 0.0, 'FF': 1.0, 'PF': 7.0, 'TF': 0.0, 'TO': 3.0, 'DQ': 0.0, 'FGM': 12.0, 'FGA': 20.0, 'FTM': 10.0, 'FTA': 14.0, '3PM': 0.0, '3PA': 0.0, 'FG%': 0.6, 'FT%': 0.71428571, '3PT%': 0.0, 'AFG%': 0.6, 'FGMI': 8.0, 'FTMI': 4.0, '3PMI': 0.0, 'APG': 1.75, 'BPG': 1.0, 'MPG': 23.5, 'PPG': 8.5, 'RPG': 9.25, 'SPG': 0.0, 'TOPG': 0.75, '3PG': 0.0, 'PPM': 0.36170213, 'A/TO': 2.33333333, 'STR': 0.0, 'DD': 1.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 94.0, 'GS': 0.0, 'GP': 4.0, 'TW': 0.0, 'FTR': 0.7}}"
5,Team perez vs TEAM TOO ICEY BOY 12,18,Team perez,home,Jordan Goodwin,4278402,PG,PG,PHO,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 38.0, 'BLK': 1.0, 'STL': 7.0, 'AST': 8.0, 'OREB': 10.0, 'DREB': 10.0, 'REB': 20.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 5.0, 'TF': 0.0, 'TO': 3.0, 'DQ': 0.0, 'FGM': 17.0, 'FGA': 34.0, 'FTM': 0.0, 'FTA': 0.0, '3PM': 4.0, '3PA': 12.0, 'FG%': 0.5, 'FT%': 0.0, '3PT%': 0.33333333, 'AFG%': 0.55882353, 'FGMI': 17.0, 'FTMI': 0.0, '3PMI': 8.0, 'APG': 2.66666667, 'BPG': 0.33333333, 'MPG': 28.0, 'PPG': 12.66666667, 'RPG': 6.66666667, 'SPG': 2.33333333, 'TOPG': 1.0, '3PG': 1.33333333, 'PPM': 0.45238095, 'A/TO': 2.66666667, 'STR': 2.33333333, 'DD': 1.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 84.0, 'GS': 1.0, 'GP': 3.0, 'TW': 3.0, 'FTR': 0.0}}"
5,Team perez vs TEAM TOO ICEY BOY 12,18,Team perez,home,T.J. McConnell,2530530,PG,PG,IND,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 0.0, 'BLK': 0.0, 'STL': 1.0, 'AST': 2.0, 'OREB': 0.0, 'DREB': 1.0, 'REB': 1.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 2.0, 'TF': 0.0, 'TO': 1.0, 'DQ': 0.0, 'FGM': 0.0, 'FGA': 4.0, 'FTM': 0.0, 'FTA': 0.0, '3PM': 0.0, '3PA': 0.0, 'FG%': 0.0, 'FT%': 0.0, '3PT%': 0.0, 'AFG%': 0.0, 'FGMI': 4.0, 'FTMI': 0.0, '3PMI': 0.0, 'APG': 2.0, 'BPG': 0.0, 'MPG': 15.0, 'PPG': 0.0, 'RPG': 1.0, 'SPG': 1.0, 'TOPG': 1.0, '3PG': 0.0, 'A/TO': 2.0, 'STR': 1.0, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 15.0, 'GS': 0.0, 'GP': 1.0, 'TW': 0.0, 'FTR': 0.0}}"
5,Team perez vs TEAM TOO ICEY BOY 12,18,Team perez,home,Jaren Jackson Jr.,4277961,C,PG,MEM,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 18.0, 'BLK': 0.0, 'STL': 0.0, 'AST': 3.0, 'OREB': 2.0, 'DREB': 4.0, 'REB': 6.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 2.0, 'TF': 0.0, 'TO': 3.0, 'DQ': 0.0, 'FGM': 8.0, 'FGA': 20.0, 'FTM': 0.0, 'FTA': 0.0, '3PM': 2.0, '3PA': 7.0, 'FG%': 0.4, 'FT%': 0.0, '3PT%': 0.28571429, 'AFG%': 0.45, 'FGMI': 12.0, 'FTMI': 0.0, '3PMI': 5.0, 'APG': 3.0, 'BPG': 0.0, 'MPG': 33.0, 'PPG': 18.0, 'RPG': 6.0, 'SPG': 0.0, 'TOPG': 3.0, '3PG': 2.0, 'PPM': 0.54545455, 'A/TO': 1.0, 'STR': 0.0, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 33.0, 'GS': 1.0, 'GP': 1.0, 'TW': 0.0, 'FTR': 0.0}}"
5,Team perez vs TEAM TOO ICEY BOY 12,18,Team perez,home,Dominick Barlow,4870562,PF,PG,PHL,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 14.0, 'BLK': 3.0, 'STL': 3.0, 'AST': 6.0, 'OREB': 5.0, 'DREB': 5.0, 'REB': 10.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 6.0, 'TF': 0.0, 'TO': 5.0, 'DQ': 0.0, 'FGM': 6.0, 'FGA': 10.0, 'FTM': 1.0, 'FTA': 2.0, '3PM': 1.0, '3PA': 2.0, 'FG%': 0.6, 'FT%': 0.5, '3PT%': 0.5, 'AFG%': 0.65, 'FGMI': 4.0, 'FTMI': 1.0, '3PMI': 1.0, 'APG': 2.0, 'BPG': 1.0, 'MPG': 22.33333333, 'PPG': 4.66666667, 'RPG': 3.33333333, 'SPG': 1.0, 'TOPG': 1.66666667, '3PG': 0.33333333, 'PPM': 0.20895522, 'A/TO': 1.2, 'STR': 0.6, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 67.0, 'GS': 2.0, 'GP': 3.0, 'TW': 2.0, 'FTR': 0.2}}"
5,Team perez vs TEAM TOO ICEY BOY 12,18,Team perez,home,Tristan da Silva,4702382,SF,PG,ORL,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 45.0, 'BLK': 1.0, 'STL': 2.0, 'AST': 9.0, 'OREB': 6.0, 'DREB': 10.0, 'REB': 16.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 6.0, 'TF': 0.0, 'TO': 3.0, 'DQ': 0.0, 'FGM': 19.0, 'FGA': 45.0, 'FTM': 0.0, 'FTA': 0.0, '3PM': 7.0, '3PA': 18.0, 'FG%': 0.42222222, 'FT%': 0.0, '3PT%': 0.38888889, 'AFG%': 0.5, 'FGMI': 26.0, 'FTMI': 0.0, '3PMI': 11.0, 'APG': 2.25, 'BPG': 0.25, 'MPG': 27.5, 'PPG': 11.25, 'RPG': 4.0, 'SPG': 0.5, 'TOPG': 0.75, '3PG': 1.75, 'PPM': 0.40909091, 'A/TO': 3.0, 'STR': 0.66666667, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 110.0, 'GS': 4.0, 'GP': 4.0, 'TW': 3.0, 'FTR': 0.0}}"
5,Team perez vs TEAM TOO ICEY BOY 12,18,Team perez,home,VJ Edgecombe,5124612,SG,PG,PHL,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 47.0, 'BLK': 2.0, 'STL': 3.0, 'AST': 13.0, 'OREB': 8.0, 'DREB': 14.0, 'REB': 22.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 10.0, 'TF': 0.0, 'TO': 5.0, 'DQ': 0.0, 'FGM': 19.0, 'FGA': 47.0, 'FTM': 4.0, 'FTA': 7.0, '3PM': 5.0, '3PA': 16.0, 'FG%': 0.40425532, 'FT%': 0.57142857, '3PT%': 0.3125, 'AFG%': 0.45744681, 'FGMI': 28.0, 'FTMI': 3.0, '3PMI': 11.0, 'APG': 4.33333333, 'BPG': 0.66666667, 'MPG': 37.33333333, 'PPG': 15.66666667, 'RPG': 7.33333333, 'SPG': 1.0, 'TOPG': 1.66666667, '3PG': 1.66666667, 'PPM': 0.41964286, 'A/TO': 2.6, 'STR': 0.6, 'DD': 1.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 112.0, 'GS': 3.0, 'GP': 3.0, 'TW': 2.0, 'FTR': 0.14893617}}"
5,Team perez vs TEAM TOO ICEY BOY 12,18,Team perez,home,RJ Barrett,4395625,SF,PG,TOR,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 78.0, 'BLK': 0.0, 'STL': 3.0, 'AST': 12.0, 'OREB': 1.0, 'DREB': 15.0, 'REB': 16.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 8.0, 'TF': 0.0, 'TO': 5.0, 'DQ': 0.0, 'FGM': 26.0, 'FGA': 51.0, 'FTM': 19.0, 'FTA': 26.0, '3PM': 7.0, '3PA': 17.0, 'FG%': 0.50980392, 'FT%': 0.73076923, '3PT%': 0.41176471, 'AFG%': 0.57843137, 'FGMI': 25.0, 'FTMI': 7.0, '3PMI': 10.0, 'APG': 3.0, 'BPG': 0.0, 'MPG': 29.0, 'PPG': 19.5, 'RPG': 4.0, 'SPG': 0.75, 'TOPG': 1.25, '3PG': 1.75, 'PPM': 0.67241379, 'A/TO': 2.4, 'STR': 0.6, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 116.0, 'GS': 4.0, 'GP': 4.0, 'TW': 4.0, 'FTR': 0.50980392}}"
5,Team perez vs TEAM TOO ICEY BOY 12,18,Team perez,home,Deni Avdija,4683021,SF,PG,POR,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 88.0, 'BLK': 1.0, 'STL': 3.0, 'AST': 30.0, 'OREB': 5.0, 'DREB': 22.0, 'REB': 27.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 7.0, 'TF': 0.0, 'TO': 12.0, 'DQ': 0.0, 'FGM': 28.0, 'FGA': 69.0, 'FTM': 24.0, 'FTA': 32.0, '3PM': 8.0, '3PA': 28.0, 'FG%': 0.4057971, 'FT%': 0.75, '3PT%': 0.28571429, 'AFG%': 0.46376812, 'FGMI': 41.0, 'FTMI': 8.0, '3PMI': 20.0, 'APG': 7.5, 'BPG': 0.25, 'MPG': 32.75, 'PPG': 22.0, 'RPG': 6.75, 'SPG': 0.75, 'TOPG': 3.0, '3PG': 2.0, 'PPM': 0.67175573, 'A/TO': 2.5, 'STR': 0.25, 'DD': 2.0, 'TD': 1.0, 'QD': 0.0, 'MIN': 131.0, 'GS': 4.0, 'GP': 4.0, 'TW': 1.0, 'FTR': 0.46376812}}"
5,Team perez vs TEAM TOO ICEY BOY 12,18,Team perez,home,Bam Adebayo,4066261,C,PG,MIA,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 36.0, 'BLK': 3.0, 'STL': 1.0, 'AST': 6.0, 'OREB': 4.0, 'DREB': 16.0, 'REB': 20.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 4.0, 'TF': 0.0, 'TO': 3.0, 'DQ': 0.0, 'FGM': 11.0, 'FGA': 25.0, 'FTM': 11.0, 'FTA': 14.0, '3PM': 3.0, '3PA': 9.0, 'FG%': 0.44, 'FT%': 0.78571429, '3PT%': 0.33333333, 'AFG%': 0.5, 'FGMI': 14.0, 'FTMI': 3.0, '3PMI': 6.0, 'APG': 3.0, 'BPG': 1.5, 'MPG': 31.0, 'PPG': 18.0, 'RPG': 10.0, 'SPG': 0.5, 'TOPG': 1.5, '3PG': 1.5, 'PPM': 0.58064516, 'A/TO': 2.0, 'STR': 0.33333333, 'DD': 1.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 62.0, 'GS': 2.0, 'GP': 2.0, 'TW': 2.0, 'FTR': 0.56}}"
