week,matchup,team_id,team_name,team_side,player_name,player_id,position,slot_position,pro_team,points,stat_0
3,Cold Beans vs TEAM TOO ICEY BOY 12,6,Cold Beans,home,Josh Minott,4687718,SF,PG,BOS,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 35.0, 'BLK': 1.0, 'STL': 5.0, 'AST': 4.0, 'OREB': 9.0, 'DREB': 12.0, 'REB': 21.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 10.0, 'TF': 0.0, 'TO': 3.0, 'DQ': 0.0, 'FGM': 13.0, 'FGA': 26.0, 'FTM': 4.0, 'FTA': 4.0, '3PM': 5.0, '3PA': 13.0, 'FG%': 0.5, 'FT%': 1.0, '3PT%': 0.38461538, 'AFG%': 0.59615385, 'FGMI': 13.0, 'FTMI': 0.0, '3PMI': 8.0, 'APG': 1.0, 'BPG': 0.25, 'MPG': 22.5, 'PPG': 8.75, 'RPG': 5.25, 'SPG': 1.25, 'TOPG': 0.75, '3PG': 1.25, 'PPM': 0.38888889, 'A/TO': 1.33333333, 'STR': 1.66666667, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 90.0, 'GS': 4.0, 'GP': 4.0, 'TW': 2.0, 'FTR': 0.15384615}}"
3,Cold Beans vs TEAM TOO ICEY BOY 12,6,Cold Beans,home,Onyeka Okongwu,4431680,C,PG,ATL,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 33.0, 'BLK': 3.0, 'STL': 5.0, 'AST': 7.0, 'OREB': 7.0, 'DREB': 19.0, 'REB': 26.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 9.0, 'TF': 0.0, 'TO': 5.0, 'DQ': 0.0, 'FGM': 11.0, 'FGA': 31.0, 'FTM': 9.0, 'FTA': 10.0, '3PM': 2.0, '3PA': 10.0, 'FG%': 0.35483871, 'FT%': 0.9, '3PT%': 0.2, 'AFG%': 0.38709677, 'FGMI': 20.0, 'FTMI': 1.0, '3PMI': 8.0, 'APG': 2.33333333, 'BPG': 1.0, 'MPG': 28.33333333, 'PPG': 11.0, 'RPG': 8.66666667, 'SPG': 1.66666667, 'TOPG': 1.66666667, '3PG': 0.66666667, 'PPM': 0.38823529, 'A/TO': 1.4, 'STR': 1.0, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 85.0, 'GS': 1.0, 'GP': 3.0, 'TW': 2.0, 'FTR': 0.32258065}}"
3,Cold Beans vs TEAM TOO ICEY BOY 12,6,Cold Beans,home,RayJ Dennis,4431941,PG,PG,LAC,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 3.0, 'BLK': 0.0, 'STL': 0.0, 'AST': 0.0, 'OREB': 0.0, 'DREB': 1.0, 'REB': 1.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 0.0, 'TF': 0.0, 'TO': 1.0, 'DQ': 0.0, 'FGM': 1.0, 'FGA': 4.0, 'FTM': 1.0, 'FTA': 1.0, '3PM': 0.0, '3PA': 2.0, 'FG%': 0.25, 'FT%': 1.0, '3PT%': 0.0, 'AFG%': 0.25, 'FGMI': 3.0, 'FTMI': 0.0, '3PMI': 2.0, 'APG': 0.0, 'BPG': 0.0, 'MPG': 8.0, 'PPG': 3.0, 'RPG': 1.0, 'SPG': 0.0, 'TOPG': 1.0, '3PG': 0.0, 'PPM': 0.375, 'A/TO': 0.0, 'STR': 0.0, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 8.0, 'GS': 0.0, 'GP': 1.0, 'TW': 0.0, 'FTR': 0.25}}"
3,Cold Beans vs TEAM TOO ICEY BOY 12,6,Cold Beans,home,Tre Jones,4395626,PG,PG,CHI,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 42.0, 'BLK': 0.0, 'STL': 5.0, 'AST': 10.0, 'OREB': 3.0, 'DREB': 12.0, 'REB': 15.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 6.0, 'TF': 0.0, 'TO': 3.0, 'DQ': 0.0, 'FGM': 13.0, 'FGA': 28.0, 'FTM': 16.0, 'FTA': 18.0, '3PM': 0.0, '3PA': 5.0, 'FG%': 0.46428571, 'FT%': 0.88888889, '3PT%': 0.0, 'AFG%': 0.46428571, 'FGMI': 15.0, 'FTMI': 2.0, '3PMI': 5.0, 'APG': 3.33333333, 'BPG': 0.0, 'MPG': 28.66666667, 'PPG': 14.0, 'RPG': 5.0, 'SPG': 1.66666667, 'TOPG': 1.0, '3PG': 0.0, 'PPM': 0.48837209, 'A/TO': 3.33333333, 'STR': 1.66666667, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 86.0, 'GS': 3.0, 'GP': 3.0, 'TW': 1.0, 'FTR': 0.64285714}}"
3,Cold Beans vs TEAM TOO ICEY BOY 12,6,Cold Beans,home,Grayson Allen,3135045,SG,PG,PHO,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 48.0, 'BLK': 1.0, 'STL': 7.0, 'AST': 12.0, 'OREB': 0.0, 'DREB': 7.0, 'REB': 7.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 8.0, 'TF': 0.0, 'TO': 5.0, 'DQ': 0.0, 'FGM': 18.0, 'FGA': 40.0, 'FTM': 0.0, 'FTA': 0.0, '3PM': 12.0, '3PA': 25.0, 'FG%': 0.45, 'FT%': 0.0, '3PT%': 0.48, 'AFG%': 0.6, 'FGMI': 22.0, 'FTMI': 0.0, '3PMI': 13.0, 'APG': 4.0, 'BPG': 0.33333333, 'MPG': 34.0, 'PPG': 16.0, 'RPG': 2.33333333, 'SPG': 2.33333333, 'TOPG': 1.66666667, '3PG': 4.0, 'PPM': 0.47058824, 'A/TO': 2.4, 'STR': 1.4, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 102.0, 'GS': 3.0, 'GP': 3.0, 'TW': 2.0, 'FTR': 0.0}}"
3,Cold Beans vs TEAM TOO ICEY BOY 12,6,Cold Beans,home,Victor Wembanyama,5104157,C,PG,SAS,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 59.0, 'BLK': 6.0, 'STL': 3.0, 'AST': 10.0, 'OREB': 3.0, 'DREB': 31.0, 'REB': 34.0, 'EJ': 0.0, 'FF': 1.0, 'PF': 13.0, 'TF': 0.0, 'TO': 14.0, 'DQ': 0.0, 'FGM': 21.0, 'FGA': 49.0, 'FTM': 15.0, 'FTA': 17.0, '3PM': 2.0, '3PA': 13.0, 'FG%': 0.42857143, 'FT%': 0.88235294, '3PT%': 0.15384615, 'AFG%': 0.44897959, 'FGMI': 28.0, 'FTMI': 2.0, '3PMI': 11.0, 'APG': 3.33333333, 'BPG': 2.0, 'MPG': 34.0, 'PPG': 19.66666667, 'RPG': 11.33333333, 'SPG': 1.0, 'TOPG': 4.66666667, '3PG': 0.66666667, 'PPM': 0.57843137, 'A/TO': 0.71428571, 'STR': 0.21428571, 'DD': 1.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 102.0, 'GS': 3.0, 'GP': 3.0, 'TW': 2.0, 'FTR': 0.34693878}}"
3,Cold Beans vs TEAM TOO ICEY BOY 12,6,Cold Beans,home,Miles Bridges,4066383,SF,PG,CHA,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 36.0, 'BLK': 1.0, 'STL': 1.0, 'AST': 10.0, 'OREB': 5.0, 'DREB': 15.0, 'REB': 20.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 4.0, 'TF': 0.0, 'TO': 5.0, 'DQ': 0.0, 'FGM': 11.0, 'FGA': 35.0, 'FTM': 11.0, 'FTA': 13.0, '3PM': 3.0, '3PA': 16.0, 'FG%': 0.31428571, 'FT%': 0.84615385, '3PT%': 0.1875, 'AFG%': 0.35714286, 'FGMI': 24.0, 'FTMI': 2.0, '3PMI': 13.0, 'APG': 5.0, 'BPG': 0.5, 'MPG': 39.0, 'PPG': 18.0, 'RPG': 10.0, 'SPG': 0.5, 'TOPG': 2.5, '3PG': 1.5, 'PPM': 0.46153846, 'A/TO': 2.0, 'STR': 0.2, 'DD': 1.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 78.0, 'GS': 2.0, 'GP': 2.0, 'TW': 0.0, 'FTR': 0.37142857}}"
3,Cold Beans vs TEAM TOO ICEY BOY 12,6,Cold Beans,home,Anthony Black,4712849,PG,PG,ORL,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 24.0, 'BLK': 2.0, 'STL': 6.0, 'AST': 7.0, 'OREB': 2.0, 'DREB': 9.0, 'REB': 11.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 7.0, 'TF': 0.0, 'TO': 3.0, 'DQ': 0.0, 'FGM': 9.0, 'FGA': 25.0, 'FTM': 3.0, 'FTA': 4.0, '3PM': 3.0, '3PA': 13.0, 'FG%': 0.36, 'FT%': 0.75, '3PT%': 0.23076923, 'AFG%': 0.42, 'FGMI': 16.0, 'FTMI': 1.0, '3PMI': 10.0, 'APG': 2.33333333, 'BPG': 0.66666667, 'MPG': 26.33333333, 'PPG': 8.0, 'RPG': 3.66666667, 'SPG': 2.0, 'TOPG': 1.0, '3PG': 1.0, 'PPM': 0.30379747, 'A/TO': 2.33333333, 'STR': 2.0, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 79.0, 'GS': 0.0, 'GP': 3.0, 'TW': 1.0, 'FTR': 0.16}}"
3,Cold Beans vs TEAM TOO ICEY BOY 12,6,Cold Beans,home,Zach LaVine,3064440,SG,PG,SAC,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 50.0, 'BLK': 0.0, 'STL': 2.0, 'AST': 8.0, 'OREB': 1.0, 'DREB': 10.0, 'REB': 11.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 11.0, 'TF': 0.0, 'TO': 6.0, 'DQ': 0.0, 'FGM': 17.0, 'FGA': 33.0, 'FTM': 7.0, 'FTA': 9.0, '3PM': 9.0, '3PA': 17.0, 'FG%': 0.51515152, 'FT%': 0.77777778, '3PT%': 0.52941176, 'AFG%': 0.65151515, 'FGMI': 16.0, 'FTMI': 2.0, '3PMI': 8.0, 'APG': 2.66666667, 'BPG': 0.0, 'MPG': 32.0, 'PPG': 16.66666667, 'RPG': 3.66666667, 'SPG': 0.66666667, 'TOPG': 2.0, '3PG': 3.0, 'PPM': 0.52083333, 'A/TO': 1.33333333, 'STR': 0.33333333, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 96.0, 'GS': 3.0, 'GP': 3.0, 'TW': 0.0, 'FTR': 0.27272727}}"
3,Cold Beans vs TEAM TOO ICEY BOY 12,6,Cold Beans,home,Bilal Coulibaly,5104155,SF,PG,WAS,0,"{'applied_total': 0, 'applied_avg': 0, 'team': None, 'date': None, 'avg': None, 'total': {'PTS': 16.0, 'BLK': 0.0, 'STL': 2.0, 'AST': 5.0, 'OREB': 2.0, 'DREB': 7.0, 'REB': 9.0, 'EJ': 0.0, 'FF': 0.0, 'PF': 7.0, 'TF': 0.0, 'TO': 6.0, 'DQ': 0.0, 'FGM': 5.0, 'FGA': 16.0, 'FTM': 3.0, 'FTA': 5.0, '3PM': 3.0, '3PA': 8.0, 'FG%': 0.3125, 'FT%': 0.6, '3PT%': 0.375, 'AFG%': 0.40625, 'FGMI': 11.0, 'FTMI': 2.0, '3PMI': 5.0, 'APG': 2.5, 'BPG': 0.0, 'MPG': 22.0, 'PPG': 8.0, 'RPG': 4.5, 'SPG': 1.0, 'TOPG': 3.0, '3PG': 1.5, 'PPM': 0.36363636, 'A/TO': 0.83333333, 'STR': 0.33333333, 'DD': 0.0, 'TD': 0.0, 'QD': 0.0, 'MIN': 44.0, 'GS': 2.0, 'GP': 2.0, 'TW': 0.0, 'FTR': 0.3125}}"
