espn_name,player_id_espn,nba_api_name,nba_api_id,normalized_name,position,matched
Davion Mitchell,4278053,Davion Mitchell,1630558,davion mitchell,PG,True
De'Aaron Fox,4066259,De'Aaron Fox,1628368,de'aaron fox,PG,True
De'Andre Hunter,4065732,De'Andre Hunter,1629631,de'andre hunter,SF,True
DeMar DeRozan,3978,DeMar DeRozan,201942,demar derozan,SF,True
Deandre Ayton,4278129,Deandre Ayton,1629028,deandre ayton,C,True
Deni Avdija,4683021,Deni Avdija,1630166,deni avdija,SF,True
Derik Queen,4869780,Derik Queen,1642852,derik queen,C,True
Derrick White,3078576,Derrick White,1628401,derrick white,SG,True
Desmond Bane,4066320,Desmond Bane,1630217,desmond bane,SG,True
Devin Booker,3136193,Devin Booker,1626164,devin booker,PG,True
Devin Vassell,4395630,Devin Vassell,1630170,devin vassell,SG,True
Dillon Brooks,3155526,Dillon Brooks,1628415,dillon brooks,SF,True
Domantas Sabonis,3155942,Domantas Sabonis,1627734,domantas sabonis,C,True
Donovan Clingan,5105565,Donovan Clingan,1642270,donovan clingan,C,True
Donovan Mitchell,3908809,Donovan Mitchell,1628378,donovan mitchell,SG,True
Donte DiVincenzo,3934673,Donte DiVincenzo,1628978,donte divincenzo,SG,True
Draymond Green,6589,Draymond Green,203110,draymond green,PF,True
Dylan Harper,5037871,Dylan Harper,1642844,dylan harper,PG,True
Dyson Daniels,4869342,Dyson Daniels,1630700,dyson daniels,SG,True
Egor Demin,5175643,Egor Dëmin,1642856,egor demin,PG,True
Ethan Thompson,4278516,Ethan Thompson,1630679,ethan thompson,SG,True
Evan Mobley,4432158,Evan Mobley,1630596,evan mobley,PF,True
Franz Wagner,4566434,Franz Wagner,1630532,franz wagner,SF,True
Giannis Antetokounmpo,3032977,Giannis Antetokounmpo,203507,giannis antetokounmpo,PF,True
Goga Bitadze,4348700,Goga Bitadze,1629048,goga bitadze,C,True
Grayson Allen,3135045,Grayson Allen,1628960,grayson allen,SG,True
Harrison Barnes,6578,Harrison Barnes,203084,harrison barnes,PF,True
Herbert Jones,4277813,Herbert Jones,1630529,herbert jones,SF,True
Immanuel Quickley,4395724,Immanuel Quickley,1630193,immanuel quickley,PG,True
Isaiah Hartenstein,4222252,Isaiah Hartenstein,1628392,isaiah hartenstein,C,True
Isaiah Jackson,4432170,Isaiah Jackson,1630543,isaiah jackson,PF,True
Ivica Zubac,4017837,Ivica Zubac,1627826,ivica zubac,C,True
Ja Morant,4279888,Ja Morant,1629630,ja morant,PG,True
Jabari Smith Jr.,4432639,Jabari Smith Jr.,1631095,jabari smith jr.,PF,True
Jaden Ivey,4433218,Jaden Ivey,1631093,jaden ivey,SG,True
Jaden McDaniels,4431671,Jaden McDaniels,1630183,jaden mcdaniels,SF,True
Jaime Jaquez Jr.,4432848,Jaime Jaquez Jr.,1631170,jaime jaquez jr.,SF,True
Jakob Poeltl,3134908,Jakob Poeltl,1627751,jakob poeltl,C,True
Jalen Brunson,3934672,Jalen Brunson,1628973,jalen brunson,PG,True
Jalen Duren,4433621,Jalen Duren,1631105,jalen duren,C,True
Jalen Green,4437244,Jalen Green,1630224,jalen green,SG,True
Jalen Johnson,4701230,Jalen Johnson,1630552,jalen johnson,PF,True
Jalen Suggs,4432165,Jalen Suggs,1630591,jalen suggs,PG,True
Jalen Williams,4593803,Jalen Williams,1631114,jalen williams,PF,True
Jamal Murray,3936299,Jamal Murray,1627750,jamal murray,PG,True
James Harden,3992,James Harden,201935,james harden,PG,True
Jaren Jackson Jr.,4277961,Jaren Jackson Jr.,1628991,jaren jackson jr.,C,True
Jarrett Allen,4066328,Jarrett Allen,1628386,jarrett allen,C,True
Jay Huff,4065731,Jay Huff,1630643,jay huff,C,True
Jaylen Brown,3917376,Jaylen Brown,1627759,jaylen brown,SF,True
Jaylen Wells,5112087,Jaylen Wells,1642377,jaylen wells,SG,True
Jaylon Tyson,4683747,Jaylon Tyson,1642281,jaylon tyson,SG,True
Jerami Grant,2991070,Jerami Grant,203924,jerami grant,PF,True
Jeremiah Fears,5144091,Jeremiah Fears,1642847,jeremiah fears,SG,True
Jimmy Butler III,6430,Jimmy Butler III,202710,jimmy butler iii,SF,True
Joel Embiid,3059318,Joel Embiid,203954,joel embiid,C,True
John Collins,3908845,John Collins,1628381,john collins,PF,True
Jordan Clarkson,2528426,Jordan Clarkson,203903,jordan clarkson,SG,True
Jordan Poole,4277956,Jordan Poole,1629673,jordan poole,SG,True
Jose Alvarado,4277869,Jose Alvarado,1630631,jose alvarado,PG,True
Josh Giddey,4871145,Josh Giddey,1630581,josh giddey,SG,True
Josh Hart,3062679,Josh Hart,1628404,josh hart,SF,True
Jrue Holiday,3995,Jrue Holiday,201950,jrue holiday,PG,True
Julian Champagnie,4592479,Julian Champagnie,1630577,julian champagnie,SF,True
Julius Randle,3064514,Julius Randle,203944,julius randle,PF,True
Jusuf Nurkic,3102530,Jusuf Nurkić,203994,jusuf nurkic,C,True
Karl-Anthony Towns,3136195,Karl-Anthony Towns,1626157,karl-anthony towns,C,True
Kawhi Leonard,6450,Kawhi Leonard,202695,kawhi leonard,SF,True
Keegan Murray,4594327,Keegan Murray,1631099,keegan murray,PF,True
Kel'el Ware,5105623,Kel'el Ware,1642276,kel'el ware,C,True
Kevin Durant,3202,Kevin Durant,201142,kevin durant,PF,True
Kevin Porter Jr.,4397140,Kevin Porter Jr.,1629645,kevin porter jr.,SG,True
Keyonte George,4433627,Keyonte George,1641718,keyonte george,PG,True
Klay Thompson,6475,Klay Thompson,202691,klay thompson,SG,True
Kon Knueppel,5061575,Kon Knueppel,1642851,kon knueppel,SG,True
Kristaps Porzingis,3102531,Kristaps Porziņģis,204001,kristaps porzingis,C,True
Kyle Filipowski,4684793,Kyle Filipowski,1642271,kyle filipowski,PF,True
Kyle Kuzma,3134907,Kyle Kuzma,1628398,kyle kuzma,PF,True
Kyrie Irving,6442,Kyrie Irving,202681,kyrie irving,PG,True
Kyshawn George,5174563,Kyshawn George,1642273,kyshawn george,SG,True
LaMelo Ball,4432816,LaMelo Ball,1630163,lamelo ball,PG,True
Lauri Markkanen,4066336,Lauri Markkanen,1628374,lauri markkanen,PF,True
LeBron James,1966,LeBron James,2544,lebron james,SF,True
Luka Doncic,3945274,Luka Dončić,1629029,luka doncic,PG,True
Mark Williams,4701232,Mark Williams,1631109,mark williams,C,True
Matas Buzelis,4711294,Matas Buzelis,1641824,matas buzelis,SF,True
Max Christie,4432582,Max Christie,1631108,max christie,SG,True
Maxime Raynaud,4898371,Maxime Raynaud,1642875,maxime raynaud,C,True
Michael Porter Jr.,4278104,Michael Porter Jr.,1629008,michael porter jr.,SF,True
Mikal Bridges,3147657,Mikal Bridges,1628969,mikal bridges,SF,True
Miles Bridges,4066383,Miles Bridges,1628970,miles bridges,SF,True
Moses Moody,4432171,Moses Moody,1630541,moses moody,SG,True
Myles Turner,3133628,Myles Turner,1626167,myles turner,C,True
Naji Marshall,4278594,Naji Marshall,1630230,naji marshall,SF,True
Naz Reid,4396971,Naz Reid,1629675,naz reid,C,True
Neemias Queta,4397424,Neemias Queta,1629674,neemias queta,C,True
Nic Claxton,4278067,Nic Claxton,1629651,nic claxton,C,True
Nickeil Alexander-Walker,4278039,Nickeil Alexander-Walker,1629638,nickeil alexander-walker,SG,True
Nikola Jokic,3112335,Nikola Jokić,203999,nikola jokic,C,True
Nikola Vucevic,6478,Nikola Vučević,202696,nikola vucevic,C,True
Noah Clowney,4712896,Noah Clowney,1641730,noah clowney,PF,True
Norman Powell,2595516,Norman Powell,1626181,norman powell,SG,True
OG Anunoby,3934719,OG Anunoby,1628384,og anunoby,SF,True
Onyeka Okongwu,4431680,Onyeka Okongwu,1630168,onyeka okongwu,C,True
P.J. Washington,4278078,P.J. Washington,1629023,p.j. washington,PF,True
Paolo Banchero,4432573,Paolo Banchero,1631094,paolo banchero,PF,True
Pascal Siakam,3149673,Pascal Siakam,1627783,pascal siakam,PF,True
Pat Spencer,4592714,Pat Spencer,1630311,pat spencer,PG,True
Paul George,4251,Paul George,202331,paul george,SF,True
Payton Pritchard,4066354,Payton Pritchard,1630202,payton pritchard,PG,True
Peyton Watson,4576087,Peyton Watson,1631212,peyton watson,SF,True
Quentin Grimes,4397014,Quentin Grimes,1629656,quentin grimes,SG,True
RJ Barrett,4395625,RJ Barrett,1629628,rj barrett,SF,True
Reed Sheppard,4711272,Reed Sheppard,1642263,reed sheppard,SG,True
Royce O'Neale,2583632,Royce O'Neale,1626220,royce o'neale,SF,True
Rudy Gobert,3032976,Rudy Gobert,203497,rudy gobert,C,True
Rui Hachimura,4066648,Rui Hachimura,1629060,rui hachimura,PF,True
Russell Westbrook,3468,Russell Westbrook,201566,russell westbrook,PG,True
Ryan Kalkbrenner,4576060,Ryan Kalkbrenner,1641750,ryan kalkbrenner,C,True
Ryan Nembhard,4433629,Ryan Nembhard,1642948,ryan nembhard,PG,True
Ryan Rollins,4591725,Ryan Rollins,1631157,ryan rollins,SG,True
Saddiq Bey,4397136,Saddiq Bey,1630180,saddiq bey,SF,True
Sam Merrill,4066757,Sam Merrill,1630241,sam merrill,SG,True
Santi Aldama,4593125,Santi Aldama,1630583,santi aldama,PF,True
Scottie Barnes,4433134,Scottie Barnes,1630567,scottie barnes,SF,True
Shaedon Sharpe,4914336,Shaedon Sharpe,1631101,shaedon sharpe,SG,True
Shai Gilgeous-Alexander,4278073,Shai Gilgeous-Alexander,1628983,shai gilgeous-alexander,PG,True
Stephen Curry,3975,Stephen Curry,201939,stephen curry,PG,True
Stephon Castle,4845367,Stephon Castle,1642264,stephon castle,PG,True
T.J. McConnell,2530530,T.J. McConnell,204456,t.j. mcconnell,PG,True
Tari Eason,4433192,Tari Eason,1631106,tari eason,SF,True
Tobias Harris,6440,Tobias Harris,202699,tobias harris,PF,True
Toumani Camara,4431736,Toumani Camara,1641739,toumani camara,PF,True
Trae Young,4277905,Trae Young,1629027,trae young,PG,True
Tre Jones,4395626,Tre Jones,1630200,tre jones,PG,True
Trey Murphy III,4397688,Trey Murphy III,1630530,trey murphy iii,SF,True
Tyler Herro,4395725,Tyler Herro,1629639,tyler herro,SG,True
Tyrese Maxey,4431678,Tyrese Maxey,1630178,tyrese maxey,PG,True
VJ Edgecombe,5124612,VJ Edgecombe,1642845,vj edgecombe,SG,True
Victor Wembanyama,5104157,Victor Wembanyama,1641705,victor wembanyama,C,True
Vince Williams Jr.,4397227,Vince Williams Jr.,1631246,vince williams jr.,SG,True
Wendell Carter Jr.,4277847,Wendell Carter Jr.,1628976,wendell carter jr.,C,True
Zach Edey,4600663,Zach Edey,1641744,zach edey,C,True
Zach LaVine,3064440,Zach LaVine,203897,zach lavine,SG,True
Zion Williamson,4395628,Zion Williamson,1629627,zion williamson,PF,True
