sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
62,7,1,3,A,26,60,22,25,4,24,78,29,14,6,4,7,1,15,48,12,14,4,14,46,19,12,3,1,7,1
63,3,6,2,B,24,63,14,21,4,24,66,30,13,5,3,7,1,31,47,9,13,8,13,79,19,13,4,2,5,1
64,8,1,2,A,28,62,22,25,8,24,86,34,16,4,4,8,1,20,48,11,14,2,14,53,20,15,4,1,6,1
65,6,3,2,A,33,62,18,21,12,25,96,32,14,5,3,8,0,21,49,13,15,4,14,59,21,14,5,1,6,1
66,7,2,2,A,32,61,19,26,10,25,93,32,14,5,3,7,0,24,48,16,16,2,13,66,21,14,4,1,5,0
67,5,5,1,TIE,27,59,18,23,6,23,78,30,15,4,4,8,0,25,46,12,15,5,13,67,21,13,4,2,7,1
68,6,3,2,A,28,58,17,21,9,24,82,32,14,6,4,7,1,25,47,14,16,4,13,68,20,14,3,2,5,1
69,7,3,1,A,33,60,18,21,13,24,97,31,14,5,4,8,1,28,46,14,15,5,13,75,20,13,4,1,7,1
70,7,3,1,A,31,62,19,24,7,25,88,32,14,6,3,7,1,25,48,11,13,3,13,64,19,14,4,2,3,0
71,8,2,1,A,30,62,19,24,9,24,88,30,14,4,4,7,0,17,50,11,14,2,15,47,19,13,4,1,5,1
72,9,2,0,A,25,62,16,24,6,25,72,31,14,5,3,8,0,19,51,9,14,2,15,49,20,12,3,1,4,1
73,6,4,1,A,25,60,18,21,8,24,76,31,15,5,4,8,0,28,46,10,14,6,12,72,22,15,3,1,7,1
74,8,1,2,A,39,58,18,22,14,23,110,31,15,6,3,8,0,27,50,9,11,5,14,68,22,13,4,1,6,0
75,9,2,0,A,24,59,19,24,5,23,72,28,15,5,6,8,0,17,46,11,15,1,13,46,23,13,3,1,6,1
76,6,4,1,A,28,63,18,25,6,25,80,30,14,6,2,7,1,24,46,13,14,7,13,68,19,12,4,1,7,0
77,8,3,0,A,29,62,12,21,8,24,78,30,13,5,3,7,0,17,47,11,13,3,13,48,22,11,4,1,5,1
78,6,4,1,A,33,60,18,21,11,24,95,31,14,6,4,8,0,22,49,14,15,7,14,65,22,14,3,1,5,1
79,6,3,2,A,26,63,20,24,8,26,80,33,14,4,4,8,1,24,44,8,13,4,12,60,21,12,4,1,4,1
80,8,2,1,A,29,61,18,23,10,25,86,31,14,6,4,8,0,26,47,10,13,4,14,66,21,10,4,2,7,0
81,10,1,0,A,28,61,18,20,7,24,81,32,14,6,4,8,1,17,45,8,15,2,13,44,20,13,5,1,5,0
82,6,4,1,A,25,60,21,23,3,25,74,33,14,5,3,8,0,24,49,10,13,3,13,61,22,12,4,2,6,1
83,8,3,0,A,26,62,17,22,10,26,79,30,15,6,4,8,0,22,46,11,15,2,13,57,22,13,4,2,5,1
84,9,1,1,A,32,62,16,23,11,25,91,32,15,6,4,8,0,20,46,8,12,3,13,51,19,14,4,1,5,0
85,3,6,2,B,25,61,15,23,5,24,70,29,13,6,3,8,0,27,47,13,15,5,13,72,22,13,4,1,5,1
