sim_num,team_a_cats,team_b_cats,ties,winner,team_a_FGM,team_a_FGA,team_a_FTM,team_a_FTA,team_a_FG3M,team_a_FG3A,team_a_PTS,team_a_REB,team_a_AST,team_a_STL,team_a_BLK,team_a_TOV,team_a_DD,team_b_FGM,team_b_FGA,team_b_FTM,team_b_FTA,team_b_FG3M,team_b_FG3A,team_b_PTS,team_b_REB,team_b_AST,team_b_STL,team_b_BLK,team_b_TOV,team_b_DD
241,6,5,0,A,229,512,118,135,77,201,653,196,150,37,22,76,4,250,470,84,106,58,152,642,234,125,45,12,66,7
242,6,5,0,A,256,511,107,141,73,202,692,196,149,36,22,76,4,234,478,91,109,48,156,607,233,127,44,17,68,7
243,5,6,0,B,255,515,106,139,78,200,694,194,152,38,25,71,4,224,469,91,103,62,153,601,229,129,46,18,70,7
244,5,6,0,B,233,522,117,142,61,203,644,203,146,34,22,75,5,235,480,80,107,60,155,610,235,130,45,14,63,6
245,6,5,0,A,241,503,107,138,81,201,670,193,148,37,21,70,4,218,466,85,103,55,155,576,231,133,45,18,66,7
246,3,7,1,B,236,510,103,135,71,200,646,198,146,34,23,69,4,252,473,87,110,66,155,657,230,134,45,15,69,7
247,5,6,0,B,243,513,111,138,65,198,662,195,151,37,24,76,4,226,474,95,108,44,155,591,230,127,46,15,66,6
248,7,3,1,A,263,506,118,140,79,195,723,196,154,33,21,71,4,224,473,77,101,51,155,576,239,124,44,17,66,4
249,6,5,0,A,233,519,119,140,73,204,658,201,149,35,22,69,4,219,468,84,106,46,151,568,234,133,46,16,66,6
250,6,5,0,A,231,507,116,135,67,199,645,200,149,41,21,76,4,237,477,84,108,49,155,607,230,130,45,16,64,6
251,5,6,0,B,245,500,112,140,73,196,675,199,151,40,24,74,4,236,481,87,107,58,158,617,240,127,43,17,67,5
252,6,5,0,A,248,518,120,143,74,199,690,208,151,36,23,78,4,246,476,83,110,53,153,628,232,133,44,16,69,7
253,6,5,0,A,225,509,116,139,74,197,640,203,148,40,19,81,4,229,479,86,107,53,156,597,236,134,42,15,65,6
254,4,7,0,B,243,515,107,137,70,202,663,196,146,37,22,70,4,251,473,85,105,69,155,656,234,125,48,19,63,7
255,5,5,1,TIE,254,508,111,134,70,198,689,192,152,38,21,71,4,239,478,95,108,53,157,626,230,129,43,12,65,7
256,2,9,0,B,235,498,106,134,64,195,640,190,151,36,25,72,4,249,481,95,108,68,160,661,237,136,44,16,68,7
257,7,4,0,A,266,503,111,140,85,196,728,195,145,36,23,75,4,229,477,83,108,56,153,597,235,130,47,15,62,6
258,6,5,0,A,259,516,108,137,77,204,703,198,150,37,22,72,4,230,477,83,105,52,155,595,234,131,41,17,65,6
259,5,6,0,B,254,518,114,137,87,201,709,197,151,37,24,71,4,252,474,87,107,68,157,659,238,130,44,19,67,6
260,6,5,0,A,272,509,117,136,80,199,741,199,146,38,22,75,4,238,471,88,102,52,152,616,229,129,40,14,67,7
261,5,5,1,TIE,240,512,107,136,77,200,664,196,151,37,23,71,4,235,473,88,109,57,155,615,229,131,48,13,69,4
262,5,6,0,B,241,513,107,139,66,202,655,197,145,34,22,78,4,227,474,81,102,44,156,579,235,133,40,18,69,6
263,5,6,0,B,221,508,121,129,65,198,628,199,149,42,21,75,4,237,467,86,105,62,152,622,230,131,43,15,64,7
264,5,6,0,B,256,502,122,140,77,195,711,190,155,36,22,74,4,252,475,81,105,64,158,649,236,124,44,15,69,7
265,6,5,0,A,251,517,123,142,71,205,696,197,147,36,20,73,5,235,474,85,102,50,153,605,241,128,42,17,65,6
266,4,7,0,B,250,504,106,134,77,194,683,193,152,38,21,74,4,235,469,87,107,63,150,620,235,128,45,16,66,7
267,5,5,1,TIE,236,509,113,137,63,197,648,192,154,38,23,69,4,242,465,82,100,62,150,628,232,130,47,19,69,6
268,5,6,0,B,241,508,117,142,71,197,670,194,145,35,23,77,4,228,471,80,102,62,155,598,232,124,44,18,68,5
269,4,7,0,B,229,512,103,133,63,200,624,201,149,37,22,75,4,236,474,91,104,53,155,616,226,129,45,20,67,5
270,6,5,0,A,243,510,118,138,82,200,686,198,157,37,22,72,4,235,475,88,110,55,157,613,237,130,46,16,66,5
271,6,5,0,A,242,512,122,137,77,201,683,200,148,32,22,77,4,239,475,84,107,55,156,617,225,131,45,14,67,5
272,5,6,0,B,243,504,121,145,73,196,680,199,149,32,22,75,5,237,475,81,104,60,154,615,231,133,45,16,65,6
273,5,6,0,B,238,505,118,137,70,197,664,192,147,35,23,70,4,235,470,83,105,56,155,609,235,127,45,14,65,7
274,5,6,0,B,257,513,125,146,75,200,714,193,151,39,23,73,4,237,465,83,102,59,152,616,234,124,43,16,67,5
275,4,6,1,B,243,520,109,139,61,200,656,201,149,33,22,68,4,241,476,86,111,61,153,629,235,122,44,17,66,5
276,5,6,0,B,248,512,112,139,77,201,685,198,154,40,20,76,4,230,473,86,99,51,154,597,231,130,45,18,70,6
277,5,6,0,B,253,509,120,144,79,198,705,188,148,36,23,71,4,255,472,98,110,54,153,662,237,127,47,13,70,6
278,7,4,0,A,247,511,125,140,79,201,698,200,151,34,20,75,4,229,480,82,100,52,158,592,233,133,44,16,66,7
279,5,6,0,B,234,505,114,137,70,197,652,197,152,39,20,72,4,223,476,80,101,56,153,582,243,127,46,15,66,7
280,2,9,0,B,240,512,107,142,67,199,654,194,147,40,24,79,4,255,480,86,110,68,157,664,227,121,47,15,68,5
281,3,8,0,B,226,517,109,139,68,204,629,197,150,40,24,75,4,250,472,84,108,72,154,656,235,134,45,13,66,7
282,5,6,0,B,228,511,107,133,63,201,626,200,149,38,22,75,4,227,477,89,112,53,153,596,236,127,46,17,69,6
283,4,7,0,B,226,517,108,134,61,203,621,195,158,35,20,69,4,227,466,86,103,51,153,591,230,128,45,17,66,6
284,4,7,0,B,243,518,110,133,68,204,664,198,157,34,21,73,4,241,469,88,105,59,152,629,228,131,45,15,69,5
285,6,5,0,A,263,509,113,136,78,200,717,198,149,38,23,76,4,212,473,95,111,46,154,565,234,129,42,17,69,5
286,4,7,0,B,235,514,116,139,63,199,649,202,151,35,23,70,4,230,479,89,102,54,155,603,230,134,45,17,65,6
287,4,6,1,B,234,510,111,144,55,200,634,199,146,35,22,72,4,227,469,76,100,62,156,592,238,134,43,17,66,4
288,4,7,0,B,247,518,112,136,71,201,677,201,152,38,22,77,5,234,472,91,108,55,154,614,232,131,47,12,67,6
289,7,4,0,A,256,516,109,138,84,197,705,204,148,36,23,74,5,223,474,82,108,60,150,588,232,125,42,15,67,6
290,5,6,0,B,228,505,108,136,71,197,635,197,150,37,21,73,4,215,461,88,103,47,151,565,229,129,46,17,66,6
291,5,6,0,B,248,517,120,139,64,203,680,195,152,40,23,80,4,234,468,88,107,54,150,610,238,131,46,17,66,5
292,4,6,1,B,246,513,120,140,76,199,688,194,144,37,23,77,4,236,477,89,103,62,156,623,229,133,46,19,71,4
293,6,5,0,A,241,512,119,140,72,202,673,197,152,38,22,74,4,239,470,88,106,47,156,613,241,131,43,13,67,6
294,5,6,0,B,230,514,118,138,63,204,641,191,150,38,22,78,4,227,469,87,105,57,153,598,239,129,48,14,68,6
295,7,4,0,A,253,512,119,136,76,200,701,194,150,39,22,73,4,229,471,85,109,54,151,597,228,126,46,16,65,6
296,5,6,0,B,234,516,119,140,69,200,656,196,152,38,23,73,4,227,459,82,102,59,151,595,227,128,47,16,65,6
297,7,4,0,A,251,519,118,138,77,201,697,191,155,39,21,76,4,231,481,78,103,58,158,598,237,130,44,15,68,6
298,6,5,0,A,248,517,116,140,76,201,688,203,154,38,23,73,4,224,474,85,98,56,156,589,237,132,46,14,64,6
299,6,5,0,A,234,511,114,138,77,201,659,202,152,38,21,77,4,222,466,85,107,39,154,568,228,127,42,16,66,5
300,5,6,0,B,239,507,118,137,75,197,671,201,159,37,21,75,4,244,479,81,103,60,155,629,228,124,41,18,64,5
301,6,5,0,A,248,521,111,140,71,204,678,195,150,37,24,74,4,233,474,82,108,51,155,599,231,134,44,12,64,7
302,4,7,0,B,242,508,107,139,80,200,671,208,151,33,25,70,4,247,476,91,107,64,157,649,235,134,48,15,66,6
303,5,6,0,B,254,507,107,133,80,197,695,197,149,37,23,68,4,233,474,90,109,66,154,622,237,123,47,19,66,5
304,5,6,0,B,232,509,109,130,69,196,642,193,151,34,21,77,4,226,480,89,109,60,156,601,234,133,43,14,67,6
305,3,7,1,B,236,514,104,136,66,199,642,198,151,32,22,73,4,244,473,91,104,63,155,642,238,133,44,20,65,6
306,3,8,0,B,222,516,120,141,65,199,629,199,148,35,19,70,4,260,470,87,106,70,154,677,235,130,44,14,65,5
307,4,7,0,B,238,512,110,134,65,200,651,199,149,34,24,68,4,237,478,78,95,59,158,611,227,131,45,16,66,7
308,5,6,0,B,225,529,124,141,67,205,641,197,149,39,24,77,4,234,472,82,103,60,153,610,231,128,44,15,66,8
309,5,5,1,TIE,237,510,107,134,63,199,644,199,153,37,21,74,4,225,470,80,103,56,154,586,234,139,48,17,68,4
310,6,5,0,A,267,521,106,134,71,204,711,196,159,34,23,75,5,227,462,82,109,56,151,592,231,127,46,14,68,6
311,6,5,0,A,253,508,117,136,77,197,700,200,150,38,23,71,4,240,480,86,109,59,154,625,233,133,47,14,65,5
312,5,6,0,B,222,511,106,136,67,197,617,194,148,40,22,75,4,224,462,88,107,48,152,584,234,127,43,14,71,6
313,4,7,0,B,226,513,114,138,69,196,635,198,148,40,22,79,4,258,477,77,104,62,157,655,235,131,45,16,63,5
314,5,6,0,B,224,506,110,134,73,200,631,202,150,33,20,72,4,239,473,81,104,58,153,617,241,128,45,14,68,7
315,3,7,1,B,236,509,109,139,70,199,651,200,149,36,19,73,4,253,468,82,103,60,156,648,238,133,46,19,65,6
316,4,7,0,B,269,523,106,140,85,204,729,194,154,36,22,73,4,247,462,82,104,64,153,640,234,129,48,15,64,6
317,5,6,0,B,224,510,118,138,63,198,629,197,151,39,23,76,4,238,468,90,110,57,154,623,234,125,46,15,66,7
318,6,5,0,A,231,510,113,138,68,199,643,196,153,37,20,76,4,216,467,82,106,46,153,560,234,128,46,18,63,6
319,5,6,0,B,241,514,111,133,62,198,655,191,149,37,23,73,4,239,478,82,103,54,156,614,232,127,45,13,66,6
320,5,6,0,B,240,515,103,139,78,205,661,195,146,37,21,75,4,249,471,92,106,58,155,648,233,130,45,18,66,6
